"indicator_id","indicator_name","unit","geo_area","geo_name","sex","time_period","value","status","source","source_url","extraction_date","methodology_note"
"POP-MALE","Poblacion de hombres","persons","07","Chiapas","male","2020","2705947","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","07","Chiapas","female","2020","2837881","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","08","Chihuahua","total","2020","3741869","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","08","Chihuahua","male","2020","1853822","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","08","Chihuahua","female","2020","1888047","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","09","Ciudad de MÃ©xico","total","2020","9209944","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","09","Ciudad de MÃ©xico","male","2020","4404927","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","09","Ciudad de MÃ©xico","female","2020","4805017","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","10","Durango","total","2020","1832650","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","10","Durango","male","2020","904866","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","10","Durango","female","2020","927784","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","11","Guanajuato","total","2020","6166934","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","11","Guanajuato","male","2020","2996454","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","11","Guanajuato","female","2020","3170480","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","12","Guerrero","total","2020","3540685","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","12","Guerrero","male","2020","1700612","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","12","Guerrero","female","2020","1840073","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","13","Hidalgo","total","2020","3082841","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","13","Hidalgo","male","2020","1481379","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","13","Hidalgo","female","2020","1601462","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","14","Jalisco","total","2020","8348151","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","14","Jalisco","male","2020","4098455","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","14","Jalisco","female","2020","4249696","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","15","MÃ©xico","total","2020","16992418","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","15","MÃ©xico","male","2020","8251295","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","15","MÃ©xico","female","2020","8741123","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","16","MichoacÃ¡n de Ocampo","total","2020","4748846","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","16","MichoacÃ¡n de Ocampo","male","2020","2306341","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","16","MichoacÃ¡n de Ocampo","female","2020","2442505","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","17","Morelos","total","2020","1971520","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","17","Morelos","male","2020","950847","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","17","Morelos","female","2020","1020673","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","18","Nayarit","total","2020","1235456","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","18","Nayarit","male","2020","612278","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
